conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1062899933454483457,Thu Nov 15 02:47:46 +0000 2018,0,Yg anak batui menyaut dlu,1062899933454483457,,,in,"Toili,sulawesi tengah",0,0,0,https://twitter.com/ritmayhani/status/1062899933454483457,2324969310,ritmayhani
1062893255505952770,Thu Nov 15 02:21:14 +0000 2018,0,Konter batui,1062893255505952770,,,in,"Toili,sulawesi tengah",0,0,0,https://twitter.com/ritmayhani/status/1062893255505952770,2324969310,ritmayhani
1055229452689510400,Wed Oct 24 22:48:01 +0000 2018,0,Hari pertama kerja di batui...,1055229452689510400,,,in,Tolando-batui city,0,0,0,https://twitter.com/Ahqriel/status/1055229452689510400,2364166669,Ahqriel
1052827032545943552,Thu Oct 18 07:41:39 +0000 2018,0,Pindah kampung otw batui,1052827032545943552,,,in,Tolando-batui city,0,0,0,https://twitter.com/Ahqriel/status/1052827032545943552,2364166669,Ahqriel
1052183505407500288,Tue Oct 16 13:04:30 +0000 2018,0,Haloo ... sahabat fokus FM batui Salam kompak selalu di'udara Yuu .. Gabung malam ini di'acara fokus song ReQues Bareng Bung'iLy Yang mau ikutan malam ini .. bisa di'nomor Radio no'081527858483 atau lasung Gabung di'status terbaru kami ..,1052183505407500288,,,in,Batui Sulawesi Tengah,0,0,0,https://twitter.com/FokusFM1/status/1052183505407500288,2687174346,FokusFM1
1049103300849815552,Mon Oct 08 01:04:52 +0000 2018,0,Anakmu eee liat itu so ba lajangon di batui.. itu Ruhaeda yg krm org batui Matara Andi Matalatta Humaera Hana'i Rahma Hana'i,1049103300849815552,,,in,luwuk,0,0,0,https://twitter.com/NurhasniHanai/status/1049103300849815552,2354080046,NurhasniHanai
1048587805503320065,Sat Oct 06 14:56:29 +0000 2018,0,Mau tanya aq sdh daftar di Telkom Plasa Luwuk utk pemasangan wilayah batui sdh mau 2 bln blm jg ada pemasangan tolong infonya,1048587805503320065,,,in,"Tolando, Batui, Sulteng, Indon",0,0,0,https://twitter.com/badibhandi/status/1048587805503320065,1002212275262865409,badibhandi
1048586566690430977,Sat Oct 06 14:51:33 +0000 2018,0,Mau tanya aq SDH daftar di Plasa Telkom hampir 2 bulan belum jg dipasang Indihomex wilayah batui tolong informasinya,1048586566690430977,,,in,"Tolando, Batui, Sulteng, Indon",0,0,0,https://twitter.com/badibhandi/status/1048586566690430977,1002212275262865409,badibhandi
1045993491732594688,Sat Sep 29 11:07:36 +0000 2018,0,Ya Allah tolong lindungi keluarga di palu donggala poso ampana luwuk (khususx di kintom dgn batui) aminnn... tdk bisa ba tlp soalx ini beehhh,1045993491732594688,,,in,luwuk,0,0,0,https://twitter.com/NurhasniHanai/status/1045993491732594688,2354080046,NurhasniHanai
1044954099454808064,Wed Sep 26 14:17:26 +0000 2018,0,Hai sahabat radio batui .. Salam kompak selalu buat kalian Malam ini . Yu .. Gabung malam ini di acara Fokus song .. reQues .. edisi-26 september 2018 pkul_22:00-sampai 00:00 bersama sy Bung'ilLi Gabung di'ruang Dengar anda ..,1044954099454808064,,,in,Batui Sulawesi Tengah,0,0,0,https://twitter.com/FokusFM1/status/1044954099454808064,2687174346,FokusFM1
1044566660391333888,Tue Sep 25 12:37:53 +0000 2018,0,halo sahabt Radio fokus Fm Batui .. Gabung bersama anda malam ini di'Acara Fokus Song Mari jo .. Gabung malam ini Nop ..081527858483 reques .. Edisi 25-09-2018,1044566660391333888,,,in,Batui Sulawesi Tengah,0,0,0,https://twitter.com/FokusFM1/status/1044566660391333888,2687174346,FokusFM1
1040015467950338069,Wed Sep 12 23:13:04 +0000 2018,0,Ready ayam petelur yang sudah apkir. Sehat wal afiat.. . Bobot ayam 1 7 - 2 2 kg . Rasa 11/12 ayam kampung.. alamat : ds. Sukamaju 1 kec. Batui selatan. stock skrg terbatas. Siapa cepat dia dapat Info order hub: Wa: 085243020005,1040015467950338069,,,in,"luwuk, sulteng",0,0,0,https://twitter.com/NichNichen/status/1040015467950338069,828202159,NichNichen
1036955961238413312,Tue Sep 04 12:35:41 +0000 2018,0,sLamat malam sahabat FOKUS...apa kbar...?? malam ini jumpa lagi bareng putra kaili tentunya hanya di fokus radio 107.7 fm batui..yg pngen gbung silahkn tembus di No.081527858483.,1036955961238413312,,,in,Batui Sulawesi Tengah,0,0,0,https://twitter.com/FokusFM1/status/1036955961238413312,2687174346,FokusFM1
1035861968673034240,Sat Sep 01 12:08:33 +0000 2018,0,sLamat malam sahabat FOKUS apa kbar...??? malam ini jumpa lgi bareng putra kaiLi hanya di fokus radio 107.7 fm batui yang pengen gabung silahkan sja tmbus di 081527858483....salam kompak slalu..!!!,1035861968673034240,,,in,Batui Sulawesi Tengah,0,0,0,https://twitter.com/FokusFM1/status/1035861968673034240,2687174346,FokusFM1
1000675949371887616,Sun May 27 09:51:52 +0000 2018,0,Kemarin Buka nya di Batui hari ini Buka nya di Bualemo.. Selalu dalam lindungan Allah Suami kuh.. ,1000675949371887616,,,in,Luwuk Sulawesi Tengah,0,0,0,https://twitter.com/Fitri_Talaku/status/1000675949371887616,1258796346,Fitri_Talaku
998926791455604736,Tue May 22 14:01:20 +0000 2018,0,perjalanan batui luwuk mantap gan jalanan mulus bukti kerja pembangunan pak @jokowi nyata...,998926791455604736,,,in,"Buol, Sulawesi Tengah",0,0,0,https://twitter.com/gelo_tojeng/status/998926791455604736,963896857,gelo_tojeng
