user_id_str,full_text
585665750,Ternyata Pak Menkes habis kunjungan ke Palu. Mbok mampir sisan pak ke Luwuk Banggai. Biar liat sarana kesehatan di sini juga. Daerah luas kayak Banggai gini *cuma* ada dua RS Pemerintah. 1 RS tipe B dan 1 RS Pratama mendapat beban rujukan dari 27 Puskesmas 
156313998,Bangsaaatt . jaringan di #luwuk hancuurrr parah
533918606,terimakasih luwuk :)
156313998,Judul nya doank ini #luwuk kota berair tpi sering mati air PAM euy bangsaat lah udah 2 hari gak mandi bau badan dan gerah nya sungguh luar biasa
1163481884350803968,LASTT DAY!! dadahh luwuk pankapann lagii (boong udh rncana balik kalo ada libur doain ga kepotong penelitian)
1243301761873367040,Info raja Ampat apa Luwuk Banggai?
318411580,Bangun tidur dg gempa + timingnya pas keluar breaking news Gempa Jepang dari CNN. Kirain emg widespread sampe Luwuk ternyata emang 2 titik pusat yang berbeda. All is well 
1353611834,Luwuk pe panas le s krg sama deng gtlo 
1317048497632243712,Taun kemarin sibuk ngurusin proyek di palu taun ini ditinggal ngurusin di luwuk 
1317048497632243712,Badan pegel boyok sakit buat jongkok kang pijetku lagi di luwuk mingdep mau balik darjo pula
86005529,ya Allah manifesting bisa ke Luwuk tahun depan aamiin
1163481884350803968,hi pipel! hri ini luwuk masih sepanas itu bahkan angin dikit aja gaada tapi gue ga rela balik bandung huhuw
1271694834638532609,luwuk panas
1163481884350803968,luwuk panas bgt kayak ada 7 mataharinya cuy
164959055,persamaan ketika aku di kantor luwuk dan poso: 1. ga ikut acara penyambutan di luwuk karena ketinggalan pesawat di poso karena covid 2. ga ikut acara perpisahan di luwuk karena covid di poso karena kantornya membelah diri 
1285774651885449216,knp in org luwuk tlalo sibuk dan trg p urusan e bnyak sp mslh in klo suka mo b urus supa sa kse stngah supa berkurang sp beban
1550674939061370880,terbangun kukira aku lagi di Luwuk Banggai liburan
318411580,Luwuk dingin bet dah akhir-akhir ini
2677275866,Padahal rencana paling awal tahun ini yang pengen banget tu Maratua atau Alor. Tapi gaada jadwal yg pas sama libur cutber. Malah Luwuk yang duluan wkwk Dan dengan cuti 5 hari dah bisa explore banyak bgt kayanyaaaaa
2677275866,Baru sadar kalo cuti 12 hari itu dikit kali. So my plan to explore Gorontalo-Bolsel-Luwuk is safe for May. Pake cuti 5 hari. Dan cuti taun baru ini aku pake 4. Damn sisanya untuk cuti natal lagi wkakwkwk
2677275866,Just booked a dive trip ke Luwuk wkakwkakkww now I have sth to look forward to 
1455164496796786689,Halo @pln_123 @infoPLN Mohon di cek tegangan listrik tdk normal di hotel kota luwuk Jl. Kol. Sugiono no 2. Luwuk kab banggai sulteng 082374124555. Segera Karna listri drop merusak alat Elektronik
318411580,Semua tugas selesai ️ tinggal menikmati sisa akhir internship di Luwuk ️
365298667,udah brpa taun ga pernah natalan di luwuk :)
1643319262084464640,Luwuk ini lagi ada apaan sih rame banget orderan connectivity ke sana 
42556892,Buset dah mbak pramugari batik air flight luwuk-makassar gw siang ini cantik2 amat gw kalo terbang ke sulawesi apalagi manado entah dari jkt or mana aja batik tuh beningnya pramugrarinya ga ketolong. Mana pake kebaya pulak. Ku aja cewek seneng bener liatnya
1455164496796786689,Halo @pln_123 @infoPLN Mohon di periksa tegangan di hotel kota luwuk. Jl. S Parman no 2 luwuk banggai. Sulteng sudah beberapa hari tegangan drop di bawah 200. Mohon segera di periksa
1101143195235180544,Ujan sore-sore kon playlist ambon manise dp vibes kayak sementara di oto perjalanan luwuk-palu.
547125634,apakah ada orang luwuk disini?
218445618, mau ke banggai luwuk ah kapalnya 6-8 jam gjd mav
32267456,Luwuk besok grup joiner bareng bosun udah pada pulang. Setelah itu gua resmi jadi orang paling lama dikapal. Terancam disalip juga sama orang2 lain
95820082,cuman di LUWUK gak ada macet.. kesono kemari deket.. ngaretnya bisa jam²an #kebiasaan #jangan #dibiasain #tanya_kifatkay
1725571491029463040,Luwuk
1018553590221189120,Satlantas @DivHumas_Polri di Luwuk Banggai ini tidak ada mata dan telinga. Badan jalan dipake parkir tidak ditertibkan. Padahal dua nyawa melayang bbrapa minggu lalu.
1156593614,Jalur di luwuk kase gila mmng kt 
48954353,Baru tahu dari Kak Ama kalau tradisi di Luwuk sama seperti di Ternate ndak bisa masak dan makan yang pahit-pahit di hari Jumat.
156313998,Pelayanan toko dan pelayanan publik di kota #banggai #luwuk ini mayoritas sungguh buruk Ntah itu krna culture ntah itu krna mindset mreka 
